Title,pos,neg,k=2,k=3,k=4,k=5
The Beggar,0.019,0.05,0,2,3,0
Movie Movie,0.062,0.065,0,2,3,0
Ente Mohangal Poovaninju,0.235,0.057,0,1,0,3
Get Smart's Bruce & Lloyd Out of Control,0.078,0.067,0,2,3,0
Ernest Goes to School,0.114,0.083,0,1,0,2
Journey,0.023,0.113,1,2,1,4
The Comebacks,0.149,0.08199999999999999,0,1,0,2
Baba Kalyani,0.055,0.046,0,2,3,0
The Test,0.0,0.11699999999999999,1,2,1,4
Misafa Lesafa,0.11699999999999999,0.096,0,1,1,2
Maanbumigu Maanavan,0.183,0.17,1,1,0,2
Voodoo,0.022000000000000002,0.051,0,2,3,0
A Waste of Shame,0.102,0.1,0,2,1,2
Aadavari Matalaku Ardhalu Verule,0.122,0.11699999999999999,0,1,1,2
British Agent,0.086,0.138,1,0,1,4
Slapstick of Another Kind,0.08199999999999999,0.064,0,2,3,0
Goldie,0.07,0.0,0,2,3,0
Stage Beauty,0.133,0.061,0,1,0,3
Kanden Kadhalai,0.156,0.057,0,1,0,3
Jefferson in Paris,0.17,0.022000000000000002,0,1,0,3
The Way,0.075,0.09699999999999999,0,2,1,4
Do Knot Disturb,0.1,0.092,0,2,1,2
The Iron Lady,0.051,0.129,1,0,1,4
Dawn of the Mummy,0.06,0.11900000000000001,1,2,1,4
Four Friends,0.114,0.14300000000000002,1,0,1,2
The Land Before Time III: The Time of the Great Giving,0.096,0.084,0,2,3,2
The 39 Steps,0.07400000000000001,0.124,1,2,1,4
Next,0.105,0.17,1,0,1,2
Yamla Pagla Deewana,0.059000000000000004,0.071,0,2,3,0
The Other Side of the Door,0.0,0.21,1,0,2,1
The Lady Vanishes,0.086,0.09300000000000001,0,2,1,2
Asoka,0.08800000000000001,0.20199999999999999,1,0,2,1
Go Fish,0.042,0.032,0,2,3,0
The Contract,0.076,0.18600000000000003,1,0,2,1
The Steamroller and the Violin,0.153,0.06,0,1,0,3
Love at Stake,0.17300000000000001,0.077,0,1,0,3
Devil's Playground,0.0,0.061,0,2,3,0
Ordinary Decent Criminal,0.136,0.12300000000000001,0,1,1,2
The King and the Clown,0.091,0.171,1,0,1,1
O Auto da Compadecida,0.024,0.22699999999999998,1,0,2,1
A Wild Hare,0.061,0.106,1,2,1,4
Clash of the Titans,0.065,0.084,0,2,3,0
A King and His Movie,0.055,0.126,1,2,1,4
The Killers,0.043,0.14400000000000002,1,0,1,4
G.I. Jane,0.078,0.08800000000000001,0,2,3,0
Cinta Pertama,0.191,0.07400000000000001,0,1,0,3
Too Outrageous!,0.083,0.22699999999999998,1,0,2,1
Dhamarukam,0.23800000000000002,0.154,0,1,0,3
Not Like Everyone Else,0.055999999999999994,0.11900000000000001,1,2,1,4
Snow Falling on Cedars,0.038,0.175,1,0,2,1
