Brudder,"[(5703, 1)]"
accept,"[(74, 1), (80, 1), (83, 1), (117, 1), (166, 1), (277, 1), (281, 1), (294, 1), (303, 1), (479, 1), (480, 1), (489, 1), (497, 1), (543, 1), (579, 1), (626, 1), (635, 1), (636, 1), (679, 1), (705, 1), (752, 1), (788, 1), (833, 1), (837, 1), (842, 1), (848, 2), (852, 1), (890, 1), (902, 1), (999, 1), (1007, 2), (1019, 2), (1082, 1), (1103, 2), (1119, 1), (1163, 1), (1189, 1), (1200, 2), (1211, 1), (1290, 1), (1326, 1), (1355, 1), (1391, 1), (1452, 1), (1496, 1), (1588, 1), (1591, 1), (1595, 1), (1628, 1), (1669, 1), (1725, 1), (1732, 1), (1782, 1), (1794, 2), (1819, 1), (1891, 1), (1915, 1), (1938, 1), (1954, 1), (2016, 1), (2041, 1), (2141, 1), (2170, 1), (2183, 1), (2239, 1), (2245, 1), (2278, 1), (2340, 2), (2350, 1), (2371, 4), (2398, 1), (2423, 1), (2474, 1), (2511, 1), (2558, 2), (2590, 1), (2649, 1), (2747, 2), (2772, 1), (2808, 1), (2821, 1), (3005, 1), (3044, 1), (3049, 1), (3054, 1), (3105, 1), (3168, 1), (3204, 1), (3209, 1), (3218, 1), (3223, 1), (3242, 1), (3248, 1), (3253, 1), (3255, 3), (3323, 1), (3368, 1), (3393, 2), (3415, 1), (3417, 1), (3419, 1), (3430, 1), (3448, 1), (3470, 1), (3553, 1), (3564, 1), (3613, 1), (3636, 1), (3637, 2), (3674, 1), (3686, 1), (3687, 1), (3770, 1), (3782, 1), (3817, 1), (3833, 1), (3851, 1), (3860, 1), (3908, 1), (3924, 1), (3972, 1), (4027, 1), (4046, 1), (4081, 1), (4140, 1), (4223, 1), (4234, 1), (4251, 1), (4278, 1), (4304, 1), (4323, 1), (4325, 1), (4394, 1), (4399, 1), (4419, 1), (4453, 1), (4455, 1), (4499, 2), (4575, 1), (4637, 1), (4674, 1), (4685, 1), (4696, 1), (4715, 1), (4722, 1), (4768, 1), (4781, 1), (4830, 1), (4843, 2), (4884, 1), (4900, 1), (4954, 1), (4989, 1), (5022, 1), (5026, 1), (5138, 1), (5142, 1), (5171, 1), (5184, 1), (5215, 1), (5223, 2), (5235, 1), (5236, 1), (5267, 1), (5306, 1), (5321, 2), (5331, 1), (5366, 1), (5367, 1), (5443, 1), (5461, 1), (5464, 1), (5479, 3), (5496, 1), (5524, 1), (5556, 1), (5582, 1), (5657, 1), (5702, 1), (5768, 1), (5773, 1), (5800, 1), (5812, 1), (5827, 1), (5857, 1), (5983, 1), (5996, 1), (6173, 1), (6210, 1), (6300, 1), (6309, 1), (6320, 1), (6346, 1), (6391, 1), (6409, 1), (6455, 1), (6492, 1), (6502, 1), (6521, 2), (6529, 1), (6583, 1), (6589, 1), (6608, 1), (6672, 2), (6730, 1), (6741, 1), (6759, 1), (6822, 1), (6868, 1), (6891, 1), (6989, 1), (6996, 2), (7001, 1), (7029, 1), (7072, 1), (7181, 1), (7209, 1), (7211, 1), (7245, 1), (7260, 1), (7271, 1), (7285, 1), (7307, 1), (7353, 1), (7368, 1), (7371, 1), (7391, 1), (7397, 1), (7416, 1), (7422, 1), (7424, 1), (7503, 2), (7525, 1), (7538, 1), (7549, 1), (7555, 1), (7570, 1), (7650, 1), (7679, 1), (7681, 1), (7713, 1), (7716, 1), (7723, 1), (7725, 1), (7761, 1), (7779, 1), (7785, 1), (7833, 1), (7885, 1), (8039, 1), (8060, 1), (8163, 1), (8245, 1), (8249, 2), (8259, 1), (8265, 1), (8273, 1), (8299, 1), (8333, 1), (8348, 1), (8409, 1), (8437, 1), (8595, 1), (8596, 1), (8615, 1), (8640, 1), (8660, 1), (8679, 1), (8738, 1), (8781, 1), (8847, 1), (8849, 1), (8906, 1), (8923, 1), (8924, 1), (8948, 2), (8955, 1), (8987, 1), (9005, 1), (9007, 1), (9011, 1), (9035, 1), (9108, 1), (9214, 1), (9217, 1), (9221, 1), (9244, 1), (9380, 1), (9390, 1), (9411, 1), (9452, 2), (9647, 1), (9657, 1), (9692, 1), (9706, 1), (9725, 1), (9736, 1), (9757, 1), (9779, 2), (9781, 1), (9815, 1), (9846, 1), (9852, 1), (9856, 1), (9866, 1), (10088, 1), (10093, 1), (10108, 1), (10144, 1), (10245, 1), (10261, 1), (10270, 1), (10291, 1), (10292, 1), (10298, 1), (10332, 1), (10340, 1), (10372, 1), (10390, 1), (10391, 1), (10450, 1), (10496, 1), (10547, 1), (10610, 1), (10624, 2), (10632, 2), (10634, 1), (10638, 1), (10640, 1), (10684, 1), (10709, 1), (10741, 2), (10833, 1), (10878, 1), (10921, 1), (10954, 1), (10955, 1), (11005, 1), (11087, 1), (11150, 1), (11168, 1), (11179, 1), (11181, 1), (11198, 1), (11255, 1), (11319, 1), (11337, 1), (11368, 1), (11432, 1), (11466, 1), (11517, 1), (11520, 1), (11574, 1), (11600, 1), (11615, 1), (11673, 1), (11704, 1), (11727, 1), (11755, 1), (11775, 1), (11808, 1), (11830, 1), (11840, 1), (11877, 1), (11903, 1), (11950, 1), (11952, 1), (11973, 1), (12100, 1), (12117, 1), (12133, 1), (12140, 1), (12144, 1), (12156, 1), (12194, 1), (12254, 1), (12287, 1), (12310, 1), (12392, 1), (12498, 1), (12607, 1), (12611, 1), (12667, 1), (12668, 1), (12726, 1), (12865, 1), (12882, 1), (12898, 1), (12928, 1), (12963, 1), (12967, 1), (13043, 1), (13052, 1), (13059, 1), (13070, 1), (13124, 1), (13139, 1), (13145, 1), (13150, 1), (13168, 1), (13234, 1), (13251, 1), (13284, 1), (13301, 1), (13315, 1), (13329, 1), (13347, 1), (13362, 1), (13395, 1), (13434, 1), (13436, 1), (13460, 1), (13470, 1), (13471, 1), (13568, 1), (13579, 1), (13593, 1), (13610, 1), (13652, 1), (13668, 1), (13675, 1), (13709, 1), (13710, 1), (13769, 1), (13783, 2), (13863, 1), (13889, 1), (13907, 1), (13911, 1), (13917, 1), (13933, 1), (14000, 1), (14004, 1), (14013, 1), (14046, 1), (14053, 1), (14121, 1), (14140, 1), (14245, 1), (14280, 1), (14320, 1), (14349, 1), (14353, 1), (14358, 1), (14383, 1), (14394, 1), (14409, 1), (14421, 2), (14461, 2), (14504, 1), (14508, 1), (14551, 1), (14561, 1), (14619, 1), (14646, 1), (14706, 1), (14748, 1), (14771, 1), (14793, 1), (14804, 1), (14857, 1), (14899, 1), (14918, 1), (14939, 1), (14941, 1), (14944, 1), (14957, 1), (14996, 1), (15009, 1), (15079, 1), (15087, 1), (15122, 1), (15158, 1), (15188, 1), (15204, 1), (15212, 1), (15343, 1), (15387, 1), (15397, 1), (15444, 1), (15502, 1), (15534, 1), (15561, 1), (15602, 1), (15657, 1), (15673, 1), (15706, 1), (15724, 1), (15745, 1), (15756, 1), (15768, 1), (15862, 1), (15896, 1), (16071, 1), (16078, 1), (16088, 1), (16090, 2), (16101, 1), (16158, 1), (16159, 1), (16161, 1), (16255, 1), (16310, 1), (16312, 1), (16327, 1), (16379, 2), (16421, 1), (16430, 1), (16445, 1), (16492, 1), (16511, 1), (16517, 2), (16561, 1), (16583, 1), (16601, 1), (16634, 1), (16644, 1), (16663, 1), (16675, 1), (16785, 1), (16803, 1), (16832, 1), (16867, 1), (16878, 1), (16927, 2), (16969, 1), (16988, 1), (16999, 1), (17047, 1), (17087, 1), (17108, 1), (17128, 1), (17163, 1), (17173, 1), (17188, 1), (17194, 1), (17198, 1), (17207, 1), (17274, 1), (17306, 1), (17393, 1), (17416, 1), (17429, 1), (17446, 1), (17495, 1), (17501, 1), (17624, 1), (17640, 1), (17695, 1), (17726, 1), (17729, 1), (17779, 1), (17821, 2), (17830, 1), (17957, 2), (17989, 1), (18017, 1), (18018, 1), (18023, 1), (18046, 1), (18065, 1), (18113, 1), (18134, 1), (18163, 2), (18184, 1), (18187, 1), (18195, 1), (18203, 1), (18210, 1), (18227, 2), (18287, 1), (18288, 2), (18308, 2), (18317, 1), (18374, 1), (18529, 1), (18562, 1), (18594, 1), (18659, 1), (18661, 1), (18681, 1), (18695, 1), (18707, 1), (18715, 1), (18720, 1), (18726, 2), (18780, 1), (18790, 1), (18841, 1), (18845, 1), (18861, 1), (18916, 2), (18927, 1), (19036, 1), (19052, 1), (19173, 1), (19273, 1), (19289, 1), (19295, 1), (19357, 1), (19368, 1), (19377, 1), (19395, 1), (19431, 1), (19434, 1), (19444, 1), (19478, 1), (19479, 1), (19708, 1), (19769, 1), (19795, 1), (19798, 1), (19806, 1), (19849, 1), (19851, 1), (19877, 1), (19914, 1), (19922, 1), (19940, 1), (19957, 1), (19983, 1), (19987, 1), (19988, 1), (20041, 1), (20062, 1), (20080, 1), (20134, 1), (20158, 1), (20184, 1), (20207, 1), (20218, 1), (20263, 1), (20283, 1), (20300, 1), (20308, 1), (20347, 1), (20392, 1), (20424, 1), (20490, 1), (20519, 1), (20577, 1), (20578, 1), (20605, 1), (20664, 1), (20669, 1), (20680, 1), (20756, 1), (20797, 1), (20803, 1), (20845, 1), (20849, 1), (20896, 1), (20897, 1), (20917, 1), (20939, 1), (20972, 1), (21000, 2), (21125, 1), (21135, 1), (21181, 1), (21206, 1), (21220, 1), (21231, 3), (21290, 1), (21368, 1), (21393, 1), (21443, 1), (21447, 1), (21464, 1), (21471, 1), (21472, 1), (21476, 1), (21559, 1), (21563, 1), (21564, 1), (21601, 1), (21610, 2), (21611, 1), (21638, 1), (21652, 1), (21687, 1), (21688, 1), (21705, 1), (21757, 1), (21793, 2), (21804, 1), (21819, 1), (21820, 1), (21840, 1), (21864, 1), (21887, 1), (21900, 1), (21920, 1), (21922, 1), (21933, 1), (21971, 1), (21987, 1), (22002, 1), (22006, 2), (22045, 1), (22150, 1), (22199, 1), (22200, 1), (22201, 1), (22205, 1), (22237, 2), (22249, 1), (22385, 1), (22392, 2), (22478, 1), (22480, 1), (22527, 1), (22538, 2), (22547, 1), (22566, 1), (22567, 1), (22583, 1), (22640, 1), (22647, 3), (22652, 1), (22764, 1), (22811, 1), (22816, 2), (22818, 1), (22829, 1), (22840, 1), (22846, 1), (22861, 1), (22876, 1), (22980, 1), (23048, 1), (23123, 1), (23134, 1), (23156, 1), (23177, 1), (23208, 1), (23241, 1), (23373, 1), (23382, 1), (23419, 1), (23448, 1), (23460, 1), (23462, 1), (23558, 1), (23619, 1), (23626, 1), (23649, 1), (23714, 2), (23723, 1), (23746, 1), (23775, 1), (23803, 1), (23854, 1), (23867, 1), (23870, 1), (23875, 1), (23906, 2), (23911, 1), (23956, 1), (23961, 1), (23996, 1), (24010, 1), (24072, 1), (24075, 1), (24125, 2), (24133, 1), (24145, 1), (24172, 1), (24192, 1), (24276, 1), (24337, 1), (24354, 1), (24370, 1), (24414, 1), (24471, 1), (24488, 1), (24500, 1), (24505, 1), (24527, 2), (24586, 1), (24655, 1), (24673, 1), (24674, 2), (24749, 1), (24913, 2), (24914, 1), (25047, 1), (25078, 1), (25098, 1), (25112, 1), (25130, 1), (25150, 1), (25309, 1), (25398, 1), (25418, 1), (25493, 1), (25531, 1), (25567, 1), (25568, 2), (25622, 1), (25635, 1), (25646, 1), (25686, 1), (25690, 1), (25698, 1), (25733, 1), (25806, 1), (25855, 1), (25863, 1), (25877, 1), (25893, 1), (25921, 1), (25928, 1), (25962, 1), (25985, 1), (26023, 1), (26063, 1), (26105, 1), (26116, 1), (26124, 1), (26149, 1), (26196, 1), (26206, 1), (26228, 1), (26251, 1), (26332, 1), (26337, 1), (26357, 1), (26363, 1), (26436, 1), (26470, 1), (26479, 2), (26535, 1), (26540, 1), (26595, 1), (26678, 1), (26716, 1), (26730, 1), (26755, 1), (26769, 1), (26779, 1), (26803, 1), (26833, 1), (26837, 2), (26874, 1), (26904, 1), (26912, 1), (26936, 1), (26953, 1), (26974, 1), (26995, 1), (27015, 1), (27051, 1), (27172, 1), (27175, 1), (27306, 1), (27362, 1), (27397, 1), (27409, 1), (27429, 1), (27444, 1), (27475, 1), (27506, 1), (27551, 1), (27586, 1), (27622, 1), (27633, 1), (27681, 1), (27700, 1), (27728, 1), (27752, 1), (27772, 1), (27776, 1), (27831, 1), (27857, 1), (27869, 1), (27915, 1), (27959, 1), (27965, 1), (28010, 1), (28118, 1), (28141, 1), (28182, 1), (28222, 1), (28235, 1), (28251, 1), (28253, 1), (28277, 1), (28330, 1), (28368, 1), (28431, 1), (28467, 1), (28516, 1), (28517, 1), (28548, 1), (28576, 1), (28581, 1), (28601, 1), (28621, 3), (28648, 1), (28703, 1), (28722, 1), (28756, 1), (28762, 2), (28791, 1), (28852, 1), (28928, 1), (28931, 1), (28949, 1), (28959, 1), (28970, 1), (28990, 1), (29006, 1), (29016, 1), (29021, 1), (29124, 1), (29137, 1), (29174, 1), (29208, 2), (29306, 1), (29314, 1), (29316, 1), (29333, 1), (29376, 1), (29387, 1), (29410, 1), (29423, 1), (29465, 1), (29466, 1), (29477, 1), (29479, 1), (29499, 1), (29519, 1), (29579, 1), (29660, 2), (29689, 1), (29691, 2), (29794, 1), (29823, 1), (29826, 1), (29827, 1), (29828, 1), (29829, 1), (29896, 1), (29975, 1), (29977, 1), (29998, 1), (30016, 1), (30022, 1), (30097, 1), (30121, 1), (30142, 1), (30149, 1), (30196, 1), (30206, 1), (30270, 1), (30284, 1), (30289, 1), (30317, 1), (30330, 1), (30335, 1), (30367, 1), (30382, 1), (30406, 1), (30443, 1), (30478, 1), (30484, 1), (30538, 1), (30559, 1), (30657, 1), (30730, 1), (30750, 1), (30757, 1), (30769, 1), (30777, 2), (30831, 1), (30910, 1), (30956, 1), (30970, 1), (30976, 1), (31002, 1), (31028, 1), (31075, 1), (31082, 1), (31100, 1), (31104, 1), (31107, 1), (31134, 1), (31141, 1), (31236, 1), (31249, 1), (31263, 1), (31283, 1), (31295, 1), (31486, 3), (31492, 1), (31506, 1), (31507, 1), (31525, 1), (31541, 1), (31553, 2), (31583, 1), (31594, 1), (31599, 1), (31612, 1), (31625, 1), (31639, 1), (31715, 1), (31780, 1), (31790, 3), (31791, 1), (31838, 1), (31927, 1), (32005, 1), (32014, 1), (32031, 1), (32049, 1), (32079, 1), (32098, 1), (32137, 1), (32145, 1), (32207, 1), (32244, 1), (32252, 1), (32319, 1), (32339, 1), (32352, 1), (32364, 1), (32378, 1), (32413, 1), (32414, 1), (32438, 1), (32446, 1), (32452, 1), (32459, 1), (32480, 1), (32493, 1), (32496, 2), (32552, 1), (32576, 1), (32583, 1), (32641, 1), (32692, 1), (32735, 1), (32750, 1), (32768, 1), (32772, 1), (32794, 1), (32862, 1), (32865, 1), (32883, 1), (32916, 1), (32924, 1), (32970, 1), (33005, 3), (33036, 1), (33160, 1), (33162, 1), (33209, 1), (33223, 2), (33233, 1), (33299, 1), (33306, 1), (33340, 1), (33343, 1), (33366, 1), (33407, 1), (33452, 1), (33455, 1), (33472, 1), (33526, 2), (33527, 1), (33569, 1), (33590, 1), (33611, 1), (33627, 1), (33675, 1), (33683, 1), (33708, 1), (33728, 1), (33791, 1), (33797, 1), (33809, 1), (33828, 1), (33849, 1), (33893, 1), (33988, 1), (33991, 1), (34058, 1), (34085, 1), (34087, 1), (34136, 1), (34152, 1), (34184, 1), (34215, 1), (34279, 1), (34396, 1), (34402, 1), (34416, 1), (34439, 1), (34470, 1), (34478, 1), (34534, 1), (34549, 1), (34563, 1), (34565, 1), (34591, 1), (34612, 1), (34672, 1), (34732, 1), (34815, 1), (34842, 1), (34905, 1), (34937, 1), (34956, 1), (35082, 1), (35149, 1), (35151, 1), (35154, 1), (35203, 1), (35206, 1), (35225, 1), (35233, 1), (35247, 1), (35266, 1), (35295, 1), (35308, 1), (35390, 1), (35394, 1), (35542, 1), (35571, 2), (35603, 1), (35636, 1), (35707, 1), (35719, 1), (35724, 1), (35752, 1), (35811, 1), (35850, 3), (35875, 1), (35885, 1), (35941, 1), (35998, 1), (36022, 1), (36036, 1), (36174, 1), (36189, 1), (36200, 1), (36209, 1), (36212, 1), (36263, 1), (36316, 1), (36356, 1), (36413, 1), (36420, 1), (36437, 1), (36517, 1), (36537, 1), (36554, 1), (36581, 1), (36625, 1), (36693, 1), (36729, 1), (36741, 1), (36744, 1), (36757, 1), (36768, 1), (36782, 1), (36928, 1), (36933, 1), (36939, 1), (36954, 1), (36959, 1), (37014, 1), (37030, 1), (37072, 1), (37116, 1), (37122, 1), (37165, 1), (37168, 1), (37186, 2), (37249, 1), (37307, 1), (37375, 1), (37377, 2), (37436, 1), (37493, 2), (37510, 1), (37532, 1), (37535, 1), (37536, 1), (37579, 1), (37581, 1), (37654, 1), (37675, 1), (37684, 1), (37727, 1), (37730, 1), (37767, 1), (37795, 1), (37821, 1), (37862, 1), (37893, 2), (37926, 1), (38088, 1), (38109, 1), (38120, 1), (38140, 2), (38156, 1), (38172, 1), (38175, 1), (38203, 1), (38217, 1), (38255, 1), (38260, 1), (38280, 1), (38283, 1), (38330, 1), (38368, 1), (38400, 1), (38419, 1), (38430, 1), (38435, 1), (38553, 1), (38562, 1), (38565, 1), (38617, 1), (38641, 2), (38663, 1), (38665, 1), (38679, 1), (38687, 1), (38689, 1), (38690, 1), (38691, 1), (38727, 1), (38770, 1), (38795, 1), (38820, 1), (38832, 1), (38914, 1), (38965, 1), (39058, 1), (39083, 1), (39168, 1), (39204, 1), (39208, 1), (39282, 2), (39285, 1), (39294, 1), (39310, 1), (39312, 2), (39337, 1), (39344, 1), (39378, 1), (39379, 1), (39429, 1), (39476, 1), (39535, 2), (39540, 1), (39631, 1), (39647, 1), (39648, 1), (39653, 1), (39669, 1), (39716, 1), (39764, 1), (39789, 1), (39832, 1), (39859, 1), (40028, 1), (40064, 1), (40097, 1), (40111, 2), (40112, 1), (40130, 1), (40182, 1), (40255, 1), (40303, 3), (40306, 1), (40337, 2), (40342, 1), (40352, 1), (40409, 1), (40467, 1), (40469, 2), (40498, 1), (40504, 1), (40582, 1), (40596, 1), (40597, 3), (40607, 1), (40664, 1), (40701, 1), (40706, 1), (40736, 1), (40746, 1), (40829, 1), (40854, 1), (40865, 1), (40874, 1), (40875, 1), (40906, 1), (40930, 1), (40937, 1), (40948, 1), (40957, 1), (41000, 1), (41022, 1), (41026, 1), (41050, 1), (41092, 1), (41096, 1), (41100, 2), (41122, 1), (41165, 1), (41200, 1), (41231, 1), (41363, 1), (41373, 1), (41390, 1), (41393, 1), (41471, 1), (41584, 1), (41592, 1), (41612, 1), (41618, 1), (41639, 1), (41657, 1), (41665, 1), (41753, 1), (41763, 1), (41764, 1), (41819, 1), (41845, 1), (41863, 1), (41880, 1), (41966, 1), (42008, 1), (42154, 1), (42170, 1)]"
prescriptions,"[(2818, 1), (12339, 1), (17715, 1), (26118, 1), (27940, 1)]"
Ginsburg,"[(1101, 2), (4511, 1), (14468, 2), (24192, 1)]"
Readiness,"[(9154, 1)]"
subaltern,"[(17457, 1), (27787, 1)]"
Zaki,"[(19905, 3), (34537, 2)]"
Whitehorse,"[(21519, 4), (32325, 10)]"
Pascalle,"[(18316, 1)]"
Icarosaurus,"[(7055, 2)]"
starburst,"[(7192, 1)]"
amicable,"[(1819, 1), (11013, 1), (12472, 1), (14002, 1), (14099, 1), (19770, 1), (25428, 1), (26468, 1), (30404, 1), (34022, 1), (35562, 1), (37364, 1), (40461, 1)]"
Jyotirindranath,"[(28958, 2)]"
megapiranha,"[(22590, 7)]"
Babirusa,"[(13845, 1)]"
storebought,"[(33135, 1)]"
Bickleton,"[(21590, 1)]"
Bhagvanti,"[(26390, 3)]"
diction,"[(4752, 1), (34821, 1), (35674, 1), (38948, 1)]"
3pm,"[(6026, 1)]"
spoilers,"[(16887, 1)]"
Mooning,"[(25401, 1)]"
horla,"[(32693, 9)]"
dematerializes,"[(18786, 1)]"
examining,"[(491, 1), (941, 1), (1466, 1), (1701, 1), (2109, 1), (2150, 1), (2517, 1), (3256, 1), (4141, 1), (4697, 1), (5010, 1), (5154, 1), (5827, 1), (6057, 1), (6130, 1), (6409, 1), (6480, 1), (6721, 1), (6863, 1), (7062, 1), (7114, 1), (7140, 1), (7291, 1), (7449, 1), (8588, 1), (8708, 1), (9425, 1), (9621, 1), (9689, 1), (10701, 1), (11121, 1), (11890, 1), (11970, 1), (12930, 1), (13411, 1), (13474, 1), (13731, 1), (14103, 1), (14200, 1), (15514, 1), (17885, 1), (17997, 1), (18312, 1), (18415, 1), (18681, 1), (18746, 1), (19369, 1), (19478, 1), (20081, 1), (20826, 1), (21312, 1), (21754, 1), (22009, 1), (22024, 1), (22237, 1), (22937, 1), (23038, 1), (24216, 1), (25388, 1), (25514, 1), (26050, 1), (27594, 1), (27685, 1), (27970, 1), (28212, 1), (29991, 1), (30025, 1), (30074, 1), (30865, 1), (31513, 1), (32494, 1), (32502, 1), (32572, 1), (32790, 1), (33904, 1), (34268, 1), (34271, 1), (35087, 1), (35489, 1), (35763, 1), (36655, 1), (36869, 1), (37066, 1), (37619, 1), (37730, 1), (38746, 1), (39560, 1), (39609, 1), (40957, 1), (41326, 1), (41423, 1), (41765, 1)]"
habitable,"[(711, 1), (3060, 1), (3432, 1), (12259, 1), (12697, 1), (13367, 1), (15087, 1), (21575, 1), (21905, 1), (31530, 1), (33068, 1), (34530, 1), (34643, 1), (35489, 1), (39801, 1), (42063, 1)]"
Housemaid,"[(12119, 1), (26363, 1), (36249, 1)]"
delineates,"[(15050, 1)]"
Offs,"[(37723, 2)]"
Thalappavu,"[(21025, 1)]"
coonoor,"[(5697, 3)]"
executioners,"[(4300, 1), (9805, 1), (13213, 1), (21931, 1), (27809, 2), (29169, 1), (30373, 1), (36552, 1), (40917, 4)]"
suckas,"[(7652, 2)]"
miserably,"[(1117, 1), (1331, 1), (4130, 1), (4156, 1), (5587, 1), (7237, 1), (7461, 1), (7843, 1), (8019, 1), (8179, 1), (8395, 1), (9285, 1), (9299, 1), (9653, 1), (11791, 1), (12129, 1), (12479, 1), (12516, 1), (14088, 1), (16096, 1), (16337, 1), (16407, 1), (17058, 1), (17398, 1), (17657, 1), (17987, 1), (18134, 1), (19505, 1), (20180, 1), (20515, 1), (20545, 1), (22255, 1), (22381, 1), (23888, 1), (24615, 1), (27160, 1), (27883, 1), (27924, 1), (29505, 1), (29748, 1), (30007, 1), (33980, 1), (34426, 1), (35534, 1), (37092, 1), (38668, 1), (39826, 1), (40187, 1), (41802, 1)]"
Shreveport,"[(14800, 2)]"
Tinguely,"[(27675, 1)]"
scryer,"[(15412, 1)]"
Kuravlyov,"[(6165, 1)]"
incapacitates,"[(1077, 1), (2698, 1), (2715, 1), (3304, 1), (3443, 1), (4848, 1), (5587, 1), (6341, 1), (8700, 1), (10219, 1), (10675, 1), (13343, 1), (17610, 1), (19574, 1), (19845, 1), (20671, 1), (20789, 1), (20972, 1), (21984, 1), (22263, 1), (24216, 1), (26661, 1), (27139, 1), (27330, 1), (27708, 1), (28146, 1), (28759, 1), (28886, 1), (30026, 1), (32585, 1), (32854, 1), (33121, 1), (35166, 1), (35980, 1), (36353, 1), (38151, 1), (40004, 1), (40406, 1), (41089, 1), (41417, 1), (41790, 1)]"
titleMovies,"[(15522, 1)]"
Fideles,"[(20202, 1), (24758, 1)]"
miming,"[(1581, 1), (4156, 1), (6481, 2), (20677, 1), (30691, 1), (31680, 1), (37194, 1)]"
Sequels,"[(13367, 1)]"
Donovans,"[(11757, 4)]"
Durgarasad,"[(21772, 1)]"
Golland,"[(35033, 1)]"
cleaner,"[(652, 1), (685, 1), (1129, 1), (1440, 1), (1786, 1), (3137, 1), (3420, 1), (3804, 1), (4425, 1), (5141, 1), (5275, 1), (5748, 2), (5844, 1), (5954, 1), (6577, 2), (6619, 1), (6696, 1), (6707, 1), (6967, 1), (7256, 1), (7416, 1), (7528, 1), (7602, 1), (7636, 1), (8458, 1), (8586, 1), (9069, 1), (9170, 1), (9521, 1), (9986, 1), (10680, 1), (11044, 1), (11305, 1), (11737, 1), (11870, 1), (12148, 1), (12254, 1), (12651, 1), (13421, 2), (13951, 1), (14219, 1), (14849, 1), (15735, 1), (15800, 1), (15811, 1), (15901, 1), (16296, 1), (16306, 1), (16878, 2), (17113, 1), (17230, 1), (17606, 1), (17795, 1), (17927, 1), (18016, 1), (18092, 2), (18170, 1), (18178, 1), (18702, 1), (18946, 1), (19029, 1), (19097, 1), (19101, 1), (19818, 3), (20161, 2), (20328, 1), (20838, 1), (21125, 1), (21171, 1), (21307, 1), (21874, 1), (22155, 1), (22330, 1), (22436, 1), (22640, 1), (22890, 1), (23039, 1), (23148, 1), (23305, 1), (23458, 1), (23927, 1), (23989, 1), (24103, 1), (24170, 1), (24739, 1), (25018, 2), (25558, 1), (25718, 1), (26207, 1), (26284, 1), (26424, 1), (27317, 1), (27402, 1), (27435, 1), (27710, 1), (27889, 1), (28035, 1), (28429, 1), (28506, 1), (29046, 1), (29380, 1), (29539, 1), (29610, 1), (30528, 1), (30593, 1), (30858, 1), (31149, 1), (31785, 1), (31953, 1), (32568, 1), (33273, 1), (33391, 1), (33734, 1), (34392, 1), (34714, 3), (35210, 1), (35611, 1), (37454, 1), (37592, 1), (37744, 1), (37856, 1), (38353, 1), (38369, 1), (38674, 1), (39449, 1), (39666, 1), (39714, 1), (39811, 1), (40122, 1), (40879, 1), (41092, 1)]"
sunaina,"[(4526, 1)]"
mentorship,"[(119, 1), (27935, 1), (42097, 1)]"
slaughtered,"[(290, 1), (515, 1), (547, 1), (711, 1), (987, 1), (1044, 1), (1066, 1), (1174, 1), (1458, 1), (1835, 1), (2058, 1), (2548, 1), (2617, 1), (2786, 1), (3093, 1), (3101, 1), (3833, 1), (3963, 1), (4202, 1), (4316, 1), (4758, 1), (4837, 1), (5695, 1), (5957, 1), (5963, 1), (6240, 1), (7207, 1), (7653, 1), (7749, 1), (8020, 1), (8204, 1), (8263, 1), (9332, 1), (9512, 1), (9752, 1), (10407, 1), (11346, 1), (11429, 2), (12085, 1), (12736, 1), (13040, 1), (13308, 1), (13563, 1), (13717, 1), (14164, 1), (14475, 1), (15085, 1), (15575, 1), (15844, 1), (17638, 1), (17679, 1), (17804, 1), (18312, 1), (18878, 1), (18935, 1), (18983, 1), (19410, 1), (19412, 1), (19517, 1), (19862, 1), (19924, 2), (20659, 1), (20787, 1), (20997, 1), (21487, 1), (21666, 1), (22175, 1), (22342, 1), (22495, 1), (22520, 1), (22626, 1), (23239, 1), (24195, 1), (25019, 1), (25025, 1), (25551, 1), (25582, 1), (26092, 1), (26616, 1), (26628, 1), (26661, 1), (26721, 1), (26858, 2), (27002, 1), (27491, 1), (27883, 1), (27935, 1), (28073, 1), (28120, 1), (28554, 1), (29403, 1), (29945, 1), (30687, 1), (31281, 1), (32343, 1), (32457, 1), (33129, 1), (33411, 1), (33724, 1), (34294, 3), (35177, 1), (36891, 1), (37158, 1), (37465, 1), (37620, 1), (37675, 1), (38758, 2), (38839, 1), (38959, 1), (40361, 1), (40611, 1), (41257, 1), (41404, 1), (41445, 1), (41660, 1), (41679, 1), (41750, 1), (41752, 1), (42060, 1), (42095, 1), (42186, 1)]"
Boxed,"[(34353, 1)]"
art_aid2009,"[(20200, 1)]"
dominion,"[(8506, 1), (10601, 1), (13685, 2), (14758, 1), (16018, 1), (16328, 1), (17858, 1), (26269, 1), (26441, 1), (26643, 1), (26943, 1), (28086, 1), (31786, 1), (41741, 1)]"
contradicts,"[(5719, 1), (9154, 1), (12116, 1), (19736, 1), (22319, 1), (22501, 1), (25319, 1), (34858, 1), (37262, 1)]"
Dijon,"[(13495, 1), (22613, 1), (31798, 1), (41029, 10)]"
Chuchandra,"[(27651, 2)]"
Malpertuis,"[(35030, 2)]"
